news_no,user_no,news_spred_no,source,fake_news,followers_no
150,111,1,Bf,1,20
32,112,1,Bf,0,6
126,113,1,Bf,1,14
82,114,1,Bf,0,4
168,115,1,Bf,1,41
168,116,1,Bf,1,111
72,117,1,Bf,0,12
168,117,1,Bf,1,21
181,117,1,Bf,1,53
110,118,1,Bf,1,52
119,119,1,Bf,1,7
121,119,1,Bf,1,28
142,119,1,Bf,1,47
126,120,1,Bf,1,36
153,121,1,Bf,1,3
72,122,1,Bf,0,3
180,123,1,Bf,1,34
41,124,1,Bf,0,75
45,125,4,Bf,0,141
23,126,1,Bf,0,5
81,127,1,Bf,0,17
82,128,1,Bf,0,71
72,129,1,Bf,0,95
91,129,1,Bf,0,2
124,130,1,Bf,1,3
45,131,1,Bf,0,37
58,132,1,Bf,0,59
110,132,1,Bf,1,25
143,132,1,Bf,1,61
31,133,1,Bf,0,9
71,133,1,Bf,0,9
72,133,1,Bf,0,131
87,133,1,Bf,0,4
153,133,1,Bf,1,159
23,134,1,Bf,0,12
45,134,1,Bf,0,543
64,134,1,Bf,0,1
32,135,1,Bf,0,2
140,136,1,Bf,1,7
168,136,7,Bf,1,18
87,137,1,Bf,0,46
153,138,1,Bf,1,102
32,139,1,Bf,0,72
153,140,1,Bf,1,148
82,141,1,Bf,0,6
72,142,1,Bf,0,2
78,143,1,Bf,0,33
15,144,1,Bf,0,10
21,144,1,Bf,0,20
18,145,1,Bf,0,403
68,146,1,Bf,0,2
6,147,1,Bf,0,22
141,148,1,Bf,1,14
124,149,1,Bf,1,7
168,150,1,Bf,1,21
13,151,1,Bf,0,61
140,152,1,Bf,1,3
87,153,1,Bf,0,48
95,154,1,Bf,1,52
18,155,1,Bf,0,8
46,156,1,Bf,0,5
168,157,1,Bf,1,33
10,158,1,Bf,0,1
21,158,1,Bf,0,83
41,158,1,Bf,0,1
42,158,1,Bf,0,5
126,159,1,Bf,1,17
180,160,1,Bf,1,5
87,161,1,Bf,0,8
5,162,1,Bf,0,17
6,162,2,Bf,0,3
30,162,1,Bf,0,4
89,162,1,Bf,0,134
93,162,1,Bf,1,1
138,162,1,Bf,1,115
171,162,3,Bf,1,3
175,162,1,Bf,1,2
62,163,1,Bf,0,165
87,164,1,Bf,0,1
78,165,1,Bf,0,1
93,166,1,Bf,1,34
93,167,1,Bf,1,15
169,168,1,Bf,1,22
140,169,1,Bf,1,5
93,170,1,Bf,1,106
140,170,1,Bf,1,46
56,171,1,Bf,0,1
93,172,1,Bf,1,2
180,173,1,Bf,1,2
46,174,1,Bf,0,2
89,175,1,Bf,0,1
93,175,1,Bf,1,9
153,176,1,Bf,1,3
87,177,1,Bf,0,2
17,178,1,Bf,0,32
153,179,1,Bf,1,3
140,180,1,Bf,1,7
56,181,1,Bf,0,4
23,182,1,Bf,0,41
46,182,2,Bf,0,8
57,182,1,Bf,0,97
64,182,1,Bf,0,51
153,183,1,Bf,1,86
155,183,1,Bf,1,6
31,184,3,Bf,0,4
32,184,1,Bf,0,6
89,185,1,Bf,0,11
6,186,1,Bf,0,6
169,187,1,Bf,1,2
87,188,1,Bf,0,32
45,189,1,Bf,0,4
2,190,1,Bf,0,22
168,191,2,Bf,1,47
2,192,1,Bf,0,2
5,192,1,Bf,0,48
42,192,2,Bf,0,2
50,192,1,Bf,0,6
73,192,1,Bf,0,8
80,192,1,Bf,0,97
153,193,1,Bf,1,46
127,194,1,Bf,1,4
45,195,1,Bf,0,114
18,196,1,Bf,0,8
13,197,1,Bf,0,14
113,198,1,Bf,1,200
121,198,1,Bf,1,4
138,198,1,Bf,1,19
91,199,1,Bf,0,8
89,200,1,Bf,0,38
115,201,1,Bf,1,6
56,202,1,Bf,0,4
42,203,1,Bf,0,75
153,204,1,Bf,1,162
46,205,1,Bf,0,10
100,206,1,Bf,1,3
171,207,1,Bf,1,68
45,208,1,Bf,0,78
181,209,1,Bf,1,2
16,210,1,Bf,0,1
95,211,1,Bf,1,22
18,212,1,Bf,0,6
42,213,1,Bf,0,2
91,213,1,Bf,0,18
72,214,1,Bf,0,13
140,215,1,Bf,1,116
140,216,1,Bf,1,1
91,217,1,Bf,0,2
181,218,1,Bf,1,5
171,219,1,Bf,1,4
105,220,1,Bf,1,279
115,220,1,Bf,1,16
126,220,1,Bf,1,10
140,220,2,Bf,1,1
168,220,1,Bf,1,5
153,221,1,Bf,1,1
153,222,1,Bf,1,3
127,223,1,Bf,1,97
45,224,1,Bf,0,68
171,225,1,Bf,1,14
160,226,1,Bf,1,5
32,227,1,Bf,0,3
140,228,1,Bf,1,1
162,229,1,Bf,1,36
153,230,1,Bf,1,14
42,231,2,Bf,0,7
112,232,1,Bf,1,3
32,233,1,Bf,0,22
140,234,1,Bf,1,17
100,235,1,Bf,1,7
168,236,1,Bf,1,1
45,237,1,Bf,0,226
24,238,1,Bf,0,13
32,239,1,Bf,0,83
72,240,1,Bf,0,18
66,241,1,Bf,0,105
45,242,1,Bf,0,4
180,243,2,Bf,1,80
10,244,1,Bf,0,27
91,245,1,Bf,0,37
138,246,2,Bf,1,24
93,247,1,Bf,1,8
140,247,4,Bf,1,2
32,248,1,Bf,0,22
87,249,1,Bf,0,51
153,250,1,Bf,1,118
141,251,1,Bf,1,8
136,252,1,Bf,1,49
112,253,1,Bf,1,16
78,254,1,Bf,0,2
150,254,1,Bf,1,38
162,255,1,Bf,1,3
101,256,1,Bf,1,51
150,257,1,Bf,1,3
32,258,1,Bf,0,44
93,258,2,Bf,1,20
105,258,1,Bf,1,2
115,258,3,Bf,1,3
140,258,1,Bf,1,2
171,258,4,Bf,1,9
91,259,1,Bf,0,24
45,260,1,Bf,0,18
45,261,1,Bf,0,79
57,261,1,Bf,0,5
64,261,1,Bf,0,2
66,261,1,Bf,0,29
73,261,1,Bf,0,30
181,262,1,Bf,1,8
151,263,1,Bf,1,1
13,264,1,Bf,0,1
124,265,1,Bf,1,2
127,266,1,Bf,1,21
151,267,1,Bf,1,9
72,268,1,Bf,0,1
109,269,1,Bf,1,5
180,270,1,Bf,1,32
126,271,2,Bf,1,36
168,272,1,Bf,1,1
17,273,1,Bf,0,553
18,273,1,Bf,0,41
87,274,1,Bf,0,11
91,275,1,Bf,0,8
180,276,1,Bf,1,130
45,277,2,Bf,0,1
91,278,1,Bf,0,2
93,279,1,Bf,1,17
181,280,1,Bf,1,174
45,281,1,Bf,0,7
127,282,1,Bf,1,4
72,283,2,Bf,0,2
155,283,2,Bf,1,9
151,284,1,Bf,1,1
89,285,1,Bf,0,8
32,286,1,Bf,0,18
16,287,1,Bf,0,112
32,288,1,Bf,0,93
150,289,1,Bf,1,24
153,290,1,Bf,1,5
16,291,1,Bf,0,1
3,292,1,Bf,0,74
5,292,1,Bf,0,62
7,292,1,Bf,0,39
9,292,1,Bf,0,5
34,292,1,Bf,0,27
42,292,2,Bf,0,81
51,292,1,Bf,0,1
57,292,1,Bf,0,20
71,292,1,Bf,0,150
73,292,1,Bf,0,68
80,292,1,Bf,0,6
86,292,1,Bf,0,10
64,293,1,Bf,0,26
95,294,1,Bf,1,5
42,295,1,Bf,0,2
32,296,1,Bf,0,13
136,297,1,Bf,1,1
32,298,1,Bf,0,17
32,299,1,Bf,0,75
115,300,1,Bf,1,1
96,301,1,Bf,1,23
32,302,1,Bf,0,8
77,303,1,Bf,0,23
168,304,1,Bf,1,176
46,305,1,Bf,0,4
169,306,1,Bf,1,5
135,307,1,Bf,1,1
167,307,1,Bf,1,370
6,308,1,Bf,0,53
95,309,1,Bf,1,16
153,310,1,Bf,1,5
71,311,1,Bf,0,19
83,311,2,Bf,0,15
85,311,1,Bf,0,1
91,311,2,Bf,0,13
77,312,1,Bf,0,2
110,313,3,Bf,1,51
180,313,1,Bf,1,9
150,314,1,Bf,1,188
32,315,1,Bf,0,36
91,316,1,Bf,0,1
82,317,1,Bf,0,49
126,318,1,Bf,1,3
32,319,1,Bf,0,37
169,320,1,Bf,1,2
127,321,1,Bf,1,9
42,322,2,Bf,0,100
142,323,1,Bf,1,1
141,324,1,Bf,1,3
143,324,1,Bf,1,93
168,324,1,Bf,1,13
32,325,1,Bf,0,78
153,326,1,Bf,1,4
113,327,1,Bf,1,7
125,327,1,Bf,1,43
141,327,1,Bf,1,12
180,328,1,Bf,1,6
180,329,1,Bf,1,20
38,330,1,Bf,0,19
85,330,1,Bf,0,3
91,331,1,Bf,0,39
135,332,1,Bf,1,1
56,333,1,Bf,0,8
42,334,1,Bf,0,115
95,335,2,Bf,1,6
140,335,2,Bf,1,4
171,335,2,Bf,1,7
182,335,1,Bf,1,27
181,336,1,Bf,1,41
32,337,1,Bf,0,14
11,338,1,Bf,0,97
23,339,1,Bf,0,3
45,339,1,Bf,0,6
64,339,1,Bf,0,27
13,340,1,Bf,0,140
153,341,1,Bf,1,22
153,342,1,Bf,1,5
42,343,1,Bf,0,1
124,344,1,Bf,1,38
150,345,1,Bf,1,96
73,346,1,Bf,0,5
87,347,1,Bf,0,1
5,348,1,Bf,0,3
9,348,1,Bf,0,66
42,348,1,Bf,0,1
150,349,1,Bf,1,3
23,350,1,Bf,0,14
57,350,1,Bf,0,8
64,350,1,Bf,0,41
66,350,1,Bf,0,11
72,351,1,Bf,0,69
171,352,1,Bf,1,5
138,353,1,Bf,1,37
140,353,2,Bf,1,18
45,354,1,Bf,0,171
32,355,1,Bf,0,4
93,356,1,Bf,1,5
93,357,1,Bf,1,2
100,357,2,Bf,1,11
113,357,1,Bf,1,8
141,357,2,Bf,1,83
91,358,1,Bf,0,169
127,359,1,Bf,1,3
80,360,1,Bf,0,15
87,360,1,Bf,0,295
180,361,1,Bf,1,28
140,362,1,Bf,1,13
93,363,1,Bf,1,37
58,364,1,Bf,0,153
126,364,1,Bf,1,4
46,365,1,Bf,0,146
173,366,1,Bf,1,20
93,367,1,Bf,1,3
141,367,1,Bf,1,1
77,368,1,Bf,0,3
32,369,1,Bf,0,9
56,370,1,Bf,0,12
91,371,1,Bf,0,41
107,372,1,Bf,1,7
141,372,1,Bf,1,33
89,373,1,Bf,0,6
140,373,1,Bf,1,12
45,374,1,Bf,0,66
43,375,1,Bf,0,10
110,375,1,Bf,1,33
138,375,1,Bf,1,34
143,375,1,Bf,1,53
10,376,1,Bf,0,36
42,377,1,Bf,0,5
45,377,1,Bf,0,127
127,378,1,Bf,1,9
30,379,1,Bf,0,98
153,380,1,Bf,1,7
180,381,1,Bf,1,30
171,382,2,Bf,1,85
98,383,1,Bf,1,130
106,383,1,Bf,1,31
17,384,1,Bf,0,135
140,385,1,Bf,1,18
126,386,1,Bf,1,8
45,387,2,Bf,0,182
112,388,1,Bf,1,3
113,389,1,Bf,1,1
93,390,1,Bf,1,29
56,391,1,Bf,0,12
171,392,2,Bf,1,136
115,393,1,Bf,1,12
23,394,1,Bf,0,66
45,394,1,Bf,0,11
64,394,1,Bf,0,84
125,395,1,Bf,1,2
87,396,1,Bf,0,23
56,397,1,Bf,0,6
87,397,2,Bf,0,214
150,398,1,Bf,1,30
152,398,1,Bf,1,3
61,399,9,Bf,0,107
127,400,1,Bf,1,195
153,401,1,Bf,1,4
138,402,1,Bf,1,11
56,403,1,Bf,0,18
93,404,1,Bf,1,1
180,404,1,Bf,1,2
45,405,1,Bf,0,131
6,406,1,Bf,0,684
13,407,1,Bf,0,22
25,408,1,Bf,0,51
91,408,1,Bf,0,11
1,409,1,Bf,0,1
88,409,1,Bf,0,16
108,409,1,Bf,1,106
168,409,1,Bf,1,11
180,410,1,Bf,1,41
138,411,1,Bf,1,2
153,412,1,Bf,1,22
6,413,1,Bf,0,1
92,414,1,Bf,1,100
135,414,1,Bf,1,18
87,415,1,Bf,0,57
87,416,1,Bf,0,11
94,417,1,Bf,1,6
115,418,1,Bf,1,41
87,419,1,Bf,0,3
32,420,1,Bf,0,140
125,421,1,Bf,1,83
138,421,1,Bf,1,2
32,422,1,Bf,0,13
57,423,1,Bf,0,9
43,424,1,Bf,0,1
128,424,1,Bf,1,24
6,425,1,Bf,0,2
87,426,1,Bf,0,4
6,427,1,Bf,0,16
140,428,1,Bf,1,96
142,428,1,Bf,1,7
148,428,1,Bf,1,9
2,429,1,Bf,0,1
57,429,1,Bf,0,44
125,430,1,Bf,1,91
124,431,1,Bf,1,437
126,432,3,Bf,1,3
10,433,1,Bf,0,3
93,434,1,Bf,1,69
95,435,1,Bf,1,40
122,435,1,Bf,1,49
180,435,1,Bf,1,23
72,436,2,Bf,0,2
105,437,1,Bf,1,16
10,438,1,Bf,0,155
81,438,1,Bf,0,3
42,439,1,Bf,0,3
6,440,1,Bf,0,5
136,441,1,Bf,1,123
124,442,1,Bf,1,1
80,443,1,Bf,0,49
126,444,1,Bf,1,12
32,445,1,Bf,0,27
153,446,1,Bf,1,1
93,447,1,Bf,1,9
45,448,1,Bf,0,14
87,449,1,Bf,0,3
153,450,1,Bf,1,16
95,451,2,Bf,1,1
140,451,1,Bf,1,29
91,452,1,Bf,0,10
125,453,1,Bf,1,144
140,454,1,Bf,1,9
16,455,1,Bf,0,33
142,456,1,Bf,1,13
143,456,1,Bf,1,26
126,457,1,Bf,1,1
13,458,1,Bf,0,6
80,459,1,Bf,0,110
153,460,1,Bf,1,100
100,461,1,Bf,1,2
104,461,1,Bf,1,35
125,461,1,Bf,1,16
130,461,1,Bf,1,82
32,462,1,Bf,0,2
46,463,1,Bf,0,5
113,464,1,Bf,1,111
42,465,1,Bf,0,35
109,466,1,Bf,1,42
140,466,1,Bf,1,98
17,467,1,Bf,0,5
140,468,1,Bf,1,31
180,469,1,Bf,1,8
45,470,1,Bf,0,1
17,471,1,Bf,0,1
44,471,1,Bf,0,111
73,472,1,Bf,0,2
138,473,1,Bf,1,3
28,474,1,Bf,0,16
119,474,1,Bf,1,9
6,475,1,Bf,0,68
138,476,1,Bf,1,32
32,477,1,Bf,0,63
42,478,1,Bf,0,34
32,479,2,Bf,0,33
45,480,1,Bf,0,7
72,481,1,Bf,0,3
45,482,1,Bf,0,170
45,483,2,Bf,0,11
32,484,1,Bf,0,22
124,485,1,Bf,1,65
151,485,1,Bf,1,2
45,486,1,Bf,0,32
64,486,1,Bf,0,3
140,487,2,Bf,1,1
32,488,1,Bf,0,32
150,489,1,Bf,1,3
136,490,1,Bf,1,19
60,491,1,Bf,0,177
87,491,1,Bf,0,96
140,492,1,Bf,1,56
138,493,1,Bf,1,6
140,493,2,Bf,1,78
169,493,1,Bf,1,71
168,494,1,Bf,1,7
180,494,1,Bf,1,243
6,495,1,Bf,0,13
91,496,1,Bf,0,8
154,497,1,Bf,1,20
180,498,1,Bf,1,2
87,499,1,Bf,0,49
150,499,1,Bf,1,17
32,500,1,Bf,0,22
72,501,2,Bf,0,11
168,502,1,Bf,1,18
153,503,1,Bf,1,14
87,504,1,Bf,0,23
150,504,1,Bf,1,117
154,504,1,Bf,1,7
16,505,1,Bf,0,4
72,506,1,Bf,0,24
68,507,1,Bf,0,2
13,508,1,Bf,0,2
87,509,1,Bf,0,6
93,510,1,Bf,1,6
153,511,1,Bf,1,10
150,512,1,Bf,1,9
150,513,1,Bf,1,2
124,514,1,Bf,1,93
153,514,1,Bf,1,73
167,514,1,Bf,1,4
44,515,1,Bf,0,7
72,516,1,Bf,0,11
171,517,1,Bf,1,2
109,518,1,Bf,1,30
41,519,1,Bf,0,139
168,520,1,Bf,1,27
42,521,1,Bf,0,15
10,522,1,Bf,0,576
21,522,1,Bf,0,1
41,522,1,Bf,0,1
42,522,1,Bf,0,22
77,522,1,Bf,0,4
5,523,1,Bf,0,48
9,523,1,Bf,0,2
42,523,2,Bf,0,23
66,523,1,Bf,0,5
32,524,1,Bf,0,58
80,525,1,Bf,0,15
140,526,1,Bf,1,39
138,527,1,Bf,1,5
127,528,1,Bf,1,111
42,529,1,Bf,0,3
32,530,4,Bf,0,116
100,531,1,Bf,1,1
2,532,1,Bf,0,33
3,532,1,Bf,0,12
5,532,1,Bf,0,1
7,532,1,Bf,0,133
9,532,1,Bf,0,3
17,532,1,Bf,0,38
34,532,1,Bf,0,176
42,532,2,Bf,0,176
50,532,1,Bf,0,29
51,532,1,Bf,0,141
57,532,1,Bf,0,40
66,532,1,Bf,0,12
73,532,1,Bf,0,1
80,532,1,Bf,0,52
85,532,1,Bf,0,38
86,532,1,Bf,0,2
150,533,1,Bf,1,17
17,534,1,Bf,0,16
6,535,1,Bf,0,39
93,536,1,Bf,1,1
72,537,1,Bf,0,5
136,538,1,Bf,1,6
64,539,1,Bf,0,5
124,539,1,Bf,1,2
113,540,1,Bf,1,49
142,541,1,Bf,1,28
140,542,1,Bf,1,4
42,543,1,Bf,0,19
45,544,1,Bf,0,125
95,545,2,Bf,1,129
147,545,1,Bf,1,2
148,545,1,Bf,1,11
168,545,1,Bf,1,150
180,546,1,Bf,1,1
87,547,1,Bf,0,10
3,548,1,Bf,0,2
5,548,1,Bf,0,112
7,548,1,Bf,0,155
15,548,1,Bf,0,5
32,548,1,Bf,0,35
44,548,1,Bf,0,49
46,548,1,Bf,0,3
50,548,1,Bf,0,9
66,548,1,Bf,0,35
86,548,1,Bf,0,76
168,548,1,Bf,1,57
173,548,1,Bf,1,9
180,548,1,Bf,1,38
181,548,1,Bf,1,25
93,549,1,Bf,1,87
181,549,1,Bf,1,1
91,550,1,Bf,0,46
13,551,1,Bf,0,51
64,551,1,Bf,0,20
72,552,1,Bf,0,21
126,553,1,Bf,1,13
150,554,1,Bf,1,95
18,555,1,Bf,0,69
95,556,1,Bf,1,1
122,556,1,Bf,1,28
93,557,2,Bf,1,255
41,558,1,Bf,0,39
153,558,1,Bf,1,111
154,558,1,Bf,1,31
153,559,1,Bf,1,108
127,560,1,Bf,1,168
140,561,1,Bf,1,20
90,562,1,Bf,0,2
66,563,1,Bf,0,25
171,564,1,Bf,1,88
180,565,1,Bf,1,21
153,566,1,Bf,1,170
72,567,1,Bf,0,56
98,568,1,Bf,1,84
101,568,1,Bf,1,62
106,568,1,Bf,1,6
140,568,1,Bf,1,78
168,568,1,Bf,1,84
180,568,2,Bf,1,8
93,569,1,Bf,1,51
77,570,1,Bf,0,2
32,571,1,Bf,0,118
91,572,1,Bf,0,2
32,573,1,Bf,0,4
32,574,1,Bf,0,23
56,575,1,Bf,0,11
93,576,1,Bf,1,2
180,577,2,Bf,1,25
10,578,1,Bf,0,22
80,579,1,Bf,0,125
153,580,1,Bf,1,2
126,581,2,Bf,1,46
138,581,1,Bf,1,80
141,581,1,Bf,1,104
89,582,1,Bf,0,1
72,583,1,Bf,0,3
140,583,7,Bf,1,1
180,583,2,Bf,1,5
124,584,1,Bf,1,5
32,585,2,Bf,0,12
42,585,1,Bf,0,2
89,585,1,Bf,0,93
160,585,1,Bf,1,14
91,586,1,Bf,0,209
5,587,1,Bf,0,3
7,587,1,Bf,0,22
42,587,1,Bf,0,32
51,587,1,Bf,0,20
71,587,1,Bf,0,2
86,587,1,Bf,0,39
168,588,1,Bf,1,2
91,589,1,Bf,0,2
91,590,1,Bf,0,12
124,591,1,Bf,1,1
171,592,1,Bf,1,1
82,593,1,Bf,0,49
5,594,1,Bf,0,14
44,594,1,Bf,0,1
121,595,1,Bf,1,1
126,596,1,Bf,1,8
72,597,1,Bf,0,77
150,597,1,Bf,1,6
92,598,1,Bf,1,7
135,598,1,Bf,1,3
151,598,1,Bf,1,104
72,599,1,Bf,0,11
6,600,1,Bf,0,6
10,600,1,Bf,0,3
15,600,1,Bf,0,7
21,600,1,Bf,0,4
41,600,1,Bf,0,12
42,600,1,Bf,0,5
77,600,1,Bf,0,96
82,600,1,Bf,0,28
109,601,1,Bf,1,54
87,602,1,Bf,0,24
168,603,1,Bf,1,19
127,604,1,Bf,1,21
45,605,1,Bf,0,12
93,606,1,Bf,1,4
155,607,1,Bf,1,52
138,608,1,Bf,1,114
93,609,1,Bf,1,4
153,610,1,Bf,1,112
138,611,1,Bf,1,84
45,612,1,Bf,0,87
57,612,1,Bf,0,6
64,612,1,Bf,0,5
66,612,1,Bf,0,9
73,612,1,Bf,0,122
93,613,1,Bf,1,1
110,614,1,Bf,1,3
140,615,1,Bf,1,2
23,616,1,Bf,0,317
45,616,1,Bf,0,88
64,616,1,Bf,0,11
87,617,1,Bf,0,1
87,618,1,Bf,0,119
140,619,1,Bf,1,11
45,620,1,Bf,0,24
171,621,1,Bf,1,107
10,622,1,Bf,0,6
138,623,1,Bf,1,67
32,624,1,Bf,0,9
56,625,1,Bf,0,122
98,626,1,Bf,1,15
106,626,1,Bf,1,42
109,626,1,Bf,1,1
42,627,1,Bf,0,17
91,628,1,Bf,0,9
72,629,1,Bf,0,5
64,630,1,Bf,0,62
6,631,1,Bf,0,17
110,631,1,Bf,1,3
121,631,1,Bf,1,8
180,631,2,Bf,1,19
45,632,1,Bf,0,92
93,633,1,Bf,1,259
32,634,1,Bf,0,20
45,635,2,Bf,0,54
142,636,1,Bf,1,1
77,637,1,Bf,0,3
72,638,1,Bf,0,14
150,639,1,Bf,1,36
153,639,1,Bf,1,13
32,640,1,Bf,0,30
42,640,2,Bf,0,19
87,640,1,Bf,0,9
89,640,1,Bf,0,14
91,640,1,Bf,0,16
124,641,1,Bf,1,14
162,642,1,Bf,1,17
167,643,1,Bf,1,22
44,644,1,Bf,0,3
153,645,1,Bf,1,44
115,646,2,Bf,1,5
126,647,1,Bf,1,111
10,648,1,Bf,0,65
42,649,1,Bf,0,6
45,650,2,Bf,0,7
68,651,1,Bf,0,50
76,652,1,Bf,0,2
72,653,1,Bf,0,3
150,654,1,Bf,1,4
72,655,1,Bf,0,18
140,656,1,Bf,1,9
141,656,1,Bf,1,4
162,656,1,Bf,1,84
180,656,1,Bf,1,8
10,657,1,Bf,0,33
51,657,1,Bf,0,165
80,657,1,Bf,0,107
89,658,1,Bf,0,163
91,659,1,Bf,0,43
32,660,1,Bf,0,52
45,660,1,Bf,0,52
22,661,1,Bf,0,8
54,661,1,Bf,0,1
149,661,1,Bf,1,1
152,661,1,Bf,1,3
153,661,1,Bf,1,9
155,661,1,Bf,1,1
44,662,1,Bf,0,135
136,663,1,Bf,1,17
168,663,1,Bf,1,15
95,664,1,Bf,1,2
126,664,1,Bf,1,135
56,665,1,Bf,0,11
93,666,1,Bf,1,79
32,667,1,Bf,0,1
169,668,1,Bf,1,1
32,669,1,Bf,0,1
140,670,1,Bf,1,106
168,670,1,Bf,1,8
180,670,1,Bf,1,7
6,671,1,Bf,0,7
72,672,1,Bf,0,8
93,673,1,Bf,1,43
20,674,1,Bf,0,5
140,675,1,Bf,1,18
142,676,1,Bf,1,10
32,677,1,Bf,0,20
42,678,1,Bf,0,9
23,679,1,Bf,0,5
45,679,1,Bf,0,548
64,679,1,Bf,0,1
80,679,1,Bf,0,41
180,680,1,Bf,1,29
181,681,1,Bf,1,161
87,682,1,Bf,0,26
45,683,1,Bf,0,12
72,683,1,Bf,0,51
77,683,1,Bf,0,10
3,684,1,Bf,0,154
5,684,1,Bf,0,32
7,684,1,Bf,0,19
9,684,1,Bf,0,7
34,684,1,Bf,0,6
116,685,1,Bf,1,140
6,686,1,Bf,0,32
32,687,1,Bf,0,209
138,688,1,Bf,1,55
45,689,2,Bf,0,1
64,689,2,Bf,0,59
140,690,1,Bf,1,12
181,690,1,Bf,1,99
43,691,3,Bf,0,4
93,691,1,Bf,1,114
115,691,1,Bf,1,5
