news_no,user_no_x,news_spred_no,source,fake_news,followers_no,total_news_spread_no,news_weight
45,67,1,Bf,0,14,1197,11
55,67,1,Bf,0,34,41,0
168,68,1,Bf,1,138,678,6
180,68,1,Bf,1,61,1060,10
6,69,1,Bf,0,2,477,4
38,70,1,Bf,0,3,32,0
79,71,1,Bf,0,17,19,0
151,72,1,Bf,1,1120,156,1
6,73,1,Bf,0,20,477,4
72,74,1,Bf,0,2,673,6
93,74,1,Bf,1,116,708,7
142,74,1,Bf,1,16,246,2
153,75,1,Bf,1,43,935,9
72,76,1,Bf,0,26,673,6
168,77,1,Bf,1,3,678,6
138,78,1,Bf,1,120,338,3
135,79,1,Bf,1,10,49,0
124,80,1,Bf,1,8,228,2
115,81,1,Bf,1,2,217,2
150,82,1,Bf,1,3,322,3
153,82,1,Bf,1,51,935,9
168,83,1,Bf,1,36,678,6
30,84,1,Bf,0,18,43,0
172,85,1,Bf,1,104,26,0
3,86,1,Bf,0,151,56,0
91,87,1,Bf,0,1,589,5
140,88,1,Bf,1,2,1020,10
171,88,1,Bf,1,28,511,5
180,88,1,Bf,1,121,1060,10
150,89,1,Bf,1,42,322,3
32,90,1,Bf,0,2,1134,11
147,91,1,Bf,1,32,45,0
64,92,1,Bf,0,32,333,3
105,93,1,Bf,1,8,111,1
122,93,1,Bf,1,29,167,1
138,93,1,Bf,1,1,338,3
141,93,1,Bf,1,5,118,1
142,93,1,Bf,1,1,246,2
153,94,1,Bf,1,64,935,9
93,95,2,Bf,1,37,708,7
113,95,1,Bf,1,41,128,1
140,95,1,Bf,1,41,1020,10
171,95,2,Bf,1,17,511,5
93,96,1,Bf,1,7,708,7
96,96,1,Bf,1,72,45,0
113,96,1,Bf,1,1,128,1
125,96,1,Bf,1,1,200,2
128,96,1,Bf,1,37,13,0
140,96,2,Bf,1,17,1020,10
143,96,1,Bf,1,61,73,0
180,96,1,Bf,1,24,1060,10
6,97,1,Bf,0,8,477,4
45,98,1,Bf,0,113,1197,11
115,99,1,Bf,1,39,217,2
45,100,1,Bf,0,1,1197,11
153,101,1,Bf,1,7,935,9
153,102,1,Bf,1,149,935,9
180,103,1,Bf,1,8,1060,10
6,104,1,Bf,0,7,477,4
32,105,1,Bf,0,9,1134,11
143,106,1,Bf,1,1,73,0
140,107,3,Bf,1,65,1020,10
168,107,1,Bf,1,8,678,6
180,107,5,Bf,1,19,1060,10
181,107,2,Bf,1,10,382,3
153,108,1,Bf,1,18,935,9
168,109,1,Bf,1,46,678,6
180,109,1,Bf,1,42,1060,10
46,110,1,Bf,0,2,285,2
23,111,1,Bf,0,28,274,2
150,111,1,Bf,1,20,322,3
32,112,1,Bf,0,6,1134,11
126,113,1,Bf,1,14,390,3
82,114,1,Bf,0,4,105,1
168,115,1,Bf,1,41,678,6
168,116,1,Bf,1,111,678,6
72,117,1,Bf,0,12,673,6
168,117,1,Bf,1,21,678,6
181,117,1,Bf,1,53,382,3
110,118,1,Bf,1,52,112,1
119,119,1,Bf,1,7,14,0
121,119,1,Bf,1,28,78,0
142,119,1,Bf,1,47,246,2
126,120,1,Bf,1,36,390,3
153,121,1,Bf,1,3,935,9
72,122,1,Bf,0,3,673,6
180,123,1,Bf,1,34,1060,10
41,124,1,Bf,0,75,105,1
45,125,4,Bf,0,141,1197,11
23,126,1,Bf,0,5,274,2
81,127,1,Bf,0,17,47,0
82,128,1,Bf,0,71,105,1
72,129,1,Bf,0,95,673,6
91,129,1,Bf,0,2,589,5
124,130,1,Bf,1,3,228,2
45,131,1,Bf,0,37,1197,11
58,132,1,Bf,0,59,63,0
110,132,1,Bf,1,25,112,1
143,132,1,Bf,1,61,73,0
31,133,1,Bf,0,9,53,0
71,133,1,Bf,0,9,61,0
72,133,1,Bf,0,131,673,6
87,133,1,Bf,0,4,754,7
153,133,1,Bf,1,159,935,9
23,134,1,Bf,0,12,274,2
45,134,1,Bf,0,543,1197,11
64,134,1,Bf,0,1,333,3
32,135,1,Bf,0,2,1134,11
140,136,1,Bf,1,7,1020,10
168,136,7,Bf,1,18,678,6
87,137,1,Bf,0,46,754,7
153,138,1,Bf,1,102,935,9
32,139,1,Bf,0,72,1134,11
153,140,1,Bf,1,148,935,9
82,141,1,Bf,0,6,105,1
72,142,1,Bf,0,2,673,6
78,143,1,Bf,0,33,83,0
15,144,1,Bf,0,10,72,0
21,144,1,Bf,0,20,84,0
18,145,1,Bf,0,403,142,1
68,146,1,Bf,0,2,70,0
6,147,1,Bf,0,22,477,4
141,148,1,Bf,1,14,118,1
124,149,1,Bf,1,7,228,2
168,150,1,Bf,1,21,678,6
13,151,1,Bf,0,61,260,2
140,152,1,Bf,1,3,1020,10
87,153,1,Bf,0,48,754,7
95,154,1,Bf,1,52,439,4
18,155,1,Bf,0,8,142,1
46,156,1,Bf,0,5,285,2
168,157,1,Bf,1,33,678,6
10,158,1,Bf,0,1,232,2
21,158,1,Bf,0,83,84,0
41,158,1,Bf,0,1,105,1
42,158,1,Bf,0,5,570,5
126,159,1,Bf,1,17,390,3
180,160,1,Bf,1,5,1060,10
87,161,1,Bf,0,8,754,7
5,162,1,Bf,0,17,94,0
6,162,2,Bf,0,3,477,4
30,162,1,Bf,0,4,43,0
89,162,1,Bf,0,134,265,2
93,162,1,Bf,1,1,708,7
138,162,1,Bf,1,115,338,3
171,162,3,Bf,1,3,511,5
175,162,1,Bf,1,2,41,0
62,163,1,Bf,0,165,19,0
87,164,1,Bf,0,1,754,7
78,165,1,Bf,0,1,83,0
93,166,1,Bf,1,34,708,7
93,167,1,Bf,1,15,708,7
169,168,1,Bf,1,22,205,2
140,169,1,Bf,1,5,1020,10
93,170,1,Bf,1,106,708,7
140,170,1,Bf,1,46,1020,10
56,171,1,Bf,0,1,278,2
93,172,1,Bf,1,2,708,7
180,173,1,Bf,1,2,1060,10
46,174,1,Bf,0,2,285,2
89,175,1,Bf,0,1,265,2
93,175,1,Bf,1,9,708,7
153,176,1,Bf,1,3,935,9
87,177,1,Bf,0,2,754,7
17,178,1,Bf,0,32,155,1
153,179,1,Bf,1,3,935,9
140,180,1,Bf,1,7,1020,10
56,181,1,Bf,0,4,278,2
23,182,1,Bf,0,41,274,2
46,182,2,Bf,0,8,285,2
57,182,1,Bf,0,97,224,2
64,182,1,Bf,0,51,333,3
153,183,1,Bf,1,86,935,9
155,183,1,Bf,1,6,61,0
31,184,3,Bf,0,4,53,0
32,184,1,Bf,0,6,1134,11
89,185,1,Bf,0,11,265,2
6,186,1,Bf,0,6,477,4
169,187,1,Bf,1,2,205,2
87,188,1,Bf,0,32,754,7
45,189,1,Bf,0,4,1197,11
2,190,1,Bf,0,22,52,0
168,191,2,Bf,1,47,678,6
2,192,1,Bf,0,2,52,0
5,192,1,Bf,0,48,94,0
42,192,2,Bf,0,2,570,5
50,192,1,Bf,0,6,67,0
73,192,1,Bf,0,8,216,2
80,192,1,Bf,0,97,235,2
153,193,1,Bf,1,46,935,9
127,194,1,Bf,1,4,366,3
45,195,1,Bf,0,114,1197,11
18,196,1,Bf,0,8,142,1
13,197,1,Bf,0,14,260,2
113,198,1,Bf,1,200,128,1
121,198,1,Bf,1,4,78,0
138,198,1,Bf,1,19,338,3
91,199,1,Bf,0,8,589,5
89,200,1,Bf,0,38,265,2
115,201,1,Bf,1,6,217,2
56,202,1,Bf,0,4,278,2
42,203,1,Bf,0,75,570,5
153,204,1,Bf,1,162,935,9
46,205,1,Bf,0,10,285,2
100,206,1,Bf,1,3,129,1
171,207,1,Bf,1,68,511,5
45,208,1,Bf,0,78,1197,11
181,209,1,Bf,1,2,382,3
16,210,1,Bf,0,1,145,1
95,211,1,Bf,1,22,439,4
18,212,1,Bf,0,6,142,1
42,213,1,Bf,0,2,570,5
91,213,1,Bf,0,18,589,5
72,214,1,Bf,0,13,673,6
140,215,1,Bf,1,116,1020,10
140,216,1,Bf,1,1,1020,10
91,217,1,Bf,0,2,589,5
181,218,1,Bf,1,5,382,3
171,219,1,Bf,1,4,511,5
105,220,1,Bf,1,279,111,1
115,220,1,Bf,1,16,217,2
126,220,1,Bf,1,10,390,3
140,220,2,Bf,1,1,1020,10
168,220,1,Bf,1,5,678,6
153,221,1,Bf,1,1,935,9
153,222,1,Bf,1,3,935,9
127,223,1,Bf,1,97,366,3
45,224,1,Bf,0,68,1197,11
171,225,1,Bf,1,14,511,5
160,226,1,Bf,1,5,60,0
32,227,1,Bf,0,3,1134,11
140,228,1,Bf,1,1,1020,10
162,229,1,Bf,1,36,99,0
153,230,1,Bf,1,14,935,9
42,231,2,Bf,0,7,570,5
112,232,1,Bf,1,3,89,0
32,233,1,Bf,0,22,1134,11
140,234,1,Bf,1,17,1020,10
100,235,1,Bf,1,7,129,1
168,236,1,Bf,1,1,678,6
45,237,1,Bf,0,226,1197,11
24,238,1,Bf,0,13,3,0
32,239,1,Bf,0,83,1134,11
72,240,1,Bf,0,18,673,6
66,241,1,Bf,0,105,212,2
45,242,1,Bf,0,4,1197,11
180,243,2,Bf,1,80,1060,10
10,244,1,Bf,0,27,232,2
91,245,1,Bf,0,37,589,5
138,246,2,Bf,1,24,338,3
93,247,1,Bf,1,8,708,7
140,247,4,Bf,1,2,1020,10
32,248,1,Bf,0,22,1134,11
87,249,1,Bf,0,51,754,7
153,250,1,Bf,1,118,935,9
141,251,1,Bf,1,8,118,1
136,252,1,Bf,1,49,84,0
112,253,1,Bf,1,16,89,0
78,254,1,Bf,0,2,83,0
150,254,1,Bf,1,38,322,3
162,255,1,Bf,1,3,99,0
101,256,1,Bf,1,51,31,0
150,257,1,Bf,1,3,322,3
32,258,1,Bf,0,44,1134,11
93,258,2,Bf,1,20,708,7
105,258,1,Bf,1,2,111,1
115,258,3,Bf,1,3,217,2
140,258,1,Bf,1,2,1020,10
171,258,4,Bf,1,9,511,5
91,259,1,Bf,0,24,589,5
45,260,1,Bf,0,18,1197,11
45,261,1,Bf,0,79,1197,11
57,261,1,Bf,0,5,224,2
64,261,1,Bf,0,2,333,3
66,261,1,Bf,0,29,212,2
73,261,1,Bf,0,30,216,2
181,262,1,Bf,1,8,382,3
151,263,1,Bf,1,1,156,1
13,264,1,Bf,0,1,260,2
124,265,1,Bf,1,2,228,2
127,266,1,Bf,1,21,366,3
151,267,1,Bf,1,9,156,1
72,268,1,Bf,0,1,673,6
109,269,1,Bf,1,5,192,1
180,270,1,Bf,1,32,1060,10
126,271,2,Bf,1,36,390,3
168,272,1,Bf,1,1,678,6
17,273,1,Bf,0,553,155,1
18,273,1,Bf,0,41,142,1
87,274,1,Bf,0,11,754,7
91,275,1,Bf,0,8,589,5
180,276,1,Bf,1,130,1060,10
45,277,2,Bf,0,1,1197,11
91,278,1,Bf,0,2,589,5
93,279,1,Bf,1,17,708,7
181,280,1,Bf,1,174,382,3
45,281,1,Bf,0,7,1197,11
127,282,1,Bf,1,4,366,3
72,283,2,Bf,0,2,673,6
155,283,2,Bf,1,9,61,0
151,284,1,Bf,1,1,156,1
89,285,1,Bf,0,8,265,2
32,286,1,Bf,0,18,1134,11
16,287,1,Bf,0,112,145,1
32,288,1,Bf,0,93,1134,11
150,289,1,Bf,1,24,322,3
153,290,1,Bf,1,5,935,9
16,291,1,Bf,0,1,145,1
3,292,1,Bf,0,74,56,0
5,292,1,Bf,0,62,94,0
7,292,1,Bf,0,39,82,0
9,292,1,Bf,0,5,83,0
34,292,1,Bf,0,27,84,0
42,292,2,Bf,0,81,570,5
51,292,1,Bf,0,1,62,0
57,292,1,Bf,0,20,224,2
71,292,1,Bf,0,150,61,0
73,292,1,Bf,0,68,216,2
80,292,1,Bf,0,6,235,2
86,292,1,Bf,0,10,68,0
64,293,1,Bf,0,26,333,3
95,294,1,Bf,1,5,439,4
42,295,1,Bf,0,2,570,5
32,296,1,Bf,0,13,1134,11
136,297,1,Bf,1,1,84,0
32,298,1,Bf,0,17,1134,11
32,299,1,Bf,0,75,1134,11
115,300,1,Bf,1,1,217,2
96,301,1,Bf,1,23,45,0
32,302,1,Bf,0,8,1134,11
77,303,1,Bf,0,23,93,0
168,304,1,Bf,1,176,678,6
46,305,1,Bf,0,4,285,2
169,306,1,Bf,1,5,205,2
135,307,1,Bf,1,1,49,0
167,307,1,Bf,1,370,38,0
6,308,1,Bf,0,53,477,4
95,309,1,Bf,1,16,439,4
153,310,1,Bf,1,5,935,9
71,311,1,Bf,0,19,61,0
83,311,2,Bf,0,15,52,0
85,311,1,Bf,0,1,46,0
91,311,2,Bf,0,13,589,5
77,312,1,Bf,0,2,93,0
110,313,3,Bf,1,51,112,1
180,313,1,Bf,1,9,1060,10
150,314,1,Bf,1,188,322,3
32,315,1,Bf,0,36,1134,11
91,316,1,Bf,0,1,589,5
82,317,1,Bf,0,49,105,1
126,318,1,Bf,1,3,390,3
32,319,1,Bf,0,37,1134,11
169,320,1,Bf,1,2,205,2
127,321,1,Bf,1,9,366,3
42,322,2,Bf,0,100,570,5
142,323,1,Bf,1,1,246,2
141,324,1,Bf,1,3,118,1
143,324,1,Bf,1,93,73,0
168,324,1,Bf,1,13,678,6
32,325,1,Bf,0,78,1134,11
153,326,1,Bf,1,4,935,9
113,327,1,Bf,1,7,128,1
125,327,1,Bf,1,43,200,2
141,327,1,Bf,1,12,118,1
180,328,1,Bf,1,6,1060,10
180,329,1,Bf,1,20,1060,10
38,330,1,Bf,0,19,32,0
85,330,1,Bf,0,3,46,0
91,331,1,Bf,0,39,589,5
135,332,1,Bf,1,1,49,0
56,333,1,Bf,0,8,278,2
42,334,1,Bf,0,115,570,5
95,335,2,Bf,1,6,439,4
140,335,2,Bf,1,4,1020,10
171,335,2,Bf,1,7,511,5
182,335,1,Bf,1,27,18,0
181,336,1,Bf,1,41,382,3
32,337,1,Bf,0,14,1134,11
11,338,1,Bf,0,97,11,0
23,339,1,Bf,0,3,274,2
45,339,1,Bf,0,6,1197,11
64,339,1,Bf,0,27,333,3
13,340,1,Bf,0,140,260,2
153,341,1,Bf,1,22,935,9
153,342,1,Bf,1,5,935,9
42,343,1,Bf,0,1,570,5
124,344,1,Bf,1,38,228,2
150,345,1,Bf,1,96,322,3
73,346,1,Bf,0,5,216,2
87,347,1,Bf,0,1,754,7
5,348,1,Bf,0,3,94,0
9,348,1,Bf,0,66,83,0
42,348,1,Bf,0,1,570,5
150,349,1,Bf,1,3,322,3
23,350,1,Bf,0,14,274,2
57,350,1,Bf,0,8,224,2
64,350,1,Bf,0,41,333,3
66,350,1,Bf,0,11,212,2
72,351,1,Bf,0,69,673,6
171,352,1,Bf,1,5,511,5
138,353,1,Bf,1,37,338,3
140,353,2,Bf,1,18,1020,10
45,354,1,Bf,0,171,1197,11
32,355,1,Bf,0,4,1134,11
93,356,1,Bf,1,5,708,7
93,357,1,Bf,1,2,708,7
100,357,2,Bf,1,11,129,1
113,357,1,Bf,1,8,128,1
141,357,2,Bf,1,83,118,1
91,358,1,Bf,0,169,589,5
127,359,1,Bf,1,3,366,3
80,360,1,Bf,0,15,235,2
87,360,1,Bf,0,295,754,7
180,361,1,Bf,1,28,1060,10
140,362,1,Bf,1,13,1020,10
93,363,1,Bf,1,37,708,7
58,364,1,Bf,0,153,63,0
126,364,1,Bf,1,4,390,3
46,365,1,Bf,0,146,285,2
173,366,1,Bf,1,20,46,0
93,367,1,Bf,1,3,708,7
141,367,1,Bf,1,1,118,1
77,368,1,Bf,0,3,93,0
32,369,1,Bf,0,9,1134,11
56,370,1,Bf,0,12,278,2
91,371,1,Bf,0,41,589,5
107,372,1,Bf,1,7,48,0
141,372,1,Bf,1,33,118,1
89,373,1,Bf,0,6,265,2
140,373,1,Bf,1,12,1020,10
45,374,1,Bf,0,66,1197,11
43,375,1,Bf,0,10,34,0
110,375,1,Bf,1,33,112,1
138,375,1,Bf,1,34,338,3
143,375,1,Bf,1,53,73,0
10,376,1,Bf,0,36,232,2
42,377,1,Bf,0,5,570,5
45,377,1,Bf,0,127,1197,11
127,378,1,Bf,1,9,366,3
30,379,1,Bf,0,98,43,0
153,380,1,Bf,1,7,935,9
180,381,1,Bf,1,30,1060,10
171,382,2,Bf,1,85,511,5
98,383,1,Bf,1,130,142,1
106,383,1,Bf,1,31,142,1
17,384,1,Bf,0,135,155,1
140,385,1,Bf,1,18,1020,10
126,386,1,Bf,1,8,390,3
45,387,2,Bf,0,182,1197,11
112,388,1,Bf,1,3,89,0
113,389,1,Bf,1,1,128,1
93,390,1,Bf,1,29,708,7
56,391,1,Bf,0,12,278,2
171,392,2,Bf,1,136,511,5
115,393,1,Bf,1,12,217,2
23,394,1,Bf,0,66,274,2
45,394,1,Bf,0,11,1197,11
64,394,1,Bf,0,84,333,3
125,395,1,Bf,1,2,200,2
87,396,1,Bf,0,23,754,7
56,397,1,Bf,0,6,278,2
87,397,2,Bf,0,214,754,7
150,398,1,Bf,1,30,322,3
152,398,1,Bf,1,3,36,0
61,399,9,Bf,0,107,9,0
127,400,1,Bf,1,195,366,3
153,401,1,Bf,1,4,935,9
138,402,1,Bf,1,11,338,3
56,403,1,Bf,0,18,278,2
93,404,1,Bf,1,1,708,7
180,404,1,Bf,1,2,1060,10
45,405,1,Bf,0,131,1197,11
6,406,1,Bf,0,684,477,4
13,407,1,Bf,0,22,260,2
25,408,1,Bf,0,51,13,0
91,408,1,Bf,0,11,589,5
1,409,1,Bf,0,1,13,0
88,409,1,Bf,0,16,3,0
108,409,1,Bf,1,106,14,0
168,409,1,Bf,1,11,678,6
180,410,1,Bf,1,41,1060,10
138,411,1,Bf,1,2,338,3
153,412,1,Bf,1,22,935,9
6,413,1,Bf,0,1,477,4
92,414,1,Bf,1,100,13,0
135,414,1,Bf,1,18,49,0
87,415,1,Bf,0,57,754,7
87,416,1,Bf,0,11,754,7
94,417,1,Bf,1,6,8,0
115,418,1,Bf,1,41,217,2
87,419,1,Bf,0,3,754,7
32,420,1,Bf,0,140,1134,11
125,421,1,Bf,1,83,200,2
138,421,1,Bf,1,2,338,3
32,422,1,Bf,0,13,1134,11
57,423,1,Bf,0,9,224,2
43,424,1,Bf,0,1,34,0
128,424,1,Bf,1,24,13,0
6,425,1,Bf,0,2,477,4
87,426,1,Bf,0,4,754,7
6,427,1,Bf,0,16,477,4
140,428,1,Bf,1,96,1020,10
142,428,1,Bf,1,7,246,2
148,428,1,Bf,1,9,116,1
2,429,1,Bf,0,1,52,0
57,429,1,Bf,0,44,224,2
125,430,1,Bf,1,91,200,2
124,431,1,Bf,1,437,228,2
126,432,3,Bf,1,3,390,3
10,433,1,Bf,0,3,232,2
93,434,1,Bf,1,69,708,7
95,435,1,Bf,1,40,439,4
122,435,1,Bf,1,49,167,1
180,435,1,Bf,1,23,1060,10
72,436,2,Bf,0,2,673,6
105,437,1,Bf,1,16,111,1
10,438,1,Bf,0,155,232,2
81,438,1,Bf,0,3,47,0
42,439,1,Bf,0,3,570,5
6,440,1,Bf,0,5,477,4
136,441,1,Bf,1,123,84,0
124,442,1,Bf,1,1,228,2
80,443,1,Bf,0,49,235,2
126,444,1,Bf,1,12,390,3
32,445,1,Bf,0,27,1134,11
153,446,1,Bf,1,1,935,9
93,447,1,Bf,1,9,708,7
45,448,1,Bf,0,14,1197,11
87,449,1,Bf,0,3,754,7
153,450,1,Bf,1,16,935,9
95,451,2,Bf,1,1,439,4
140,451,1,Bf,1,29,1020,10
91,452,1,Bf,0,10,589,5
125,453,1,Bf,1,144,200,2
140,454,1,Bf,1,9,1020,10
16,455,1,Bf,0,33,145,1
142,456,1,Bf,1,13,246,2
143,456,1,Bf,1,26,73,0
126,457,1,Bf,1,1,390,3
13,458,1,Bf,0,6,260,2
80,459,1,Bf,0,110,235,2
153,460,1,Bf,1,100,935,9
100,461,1,Bf,1,2,129,1
104,461,1,Bf,1,35,42,0
125,461,1,Bf,1,16,200,2
130,461,1,Bf,1,82,42,0
32,462,1,Bf,0,2,1134,11
46,463,1,Bf,0,5,285,2
113,464,1,Bf,1,111,128,1
42,465,1,Bf,0,35,570,5
109,466,1,Bf,1,42,192,1
140,466,1,Bf,1,98,1020,10
17,467,1,Bf,0,5,155,1
140,468,1,Bf,1,31,1020,10
180,469,1,Bf,1,8,1060,10
45,470,1,Bf,0,1,1197,11
17,471,1,Bf,0,1,155,1
44,471,1,Bf,0,111,99,0
73,472,1,Bf,0,2,216,2
138,473,1,Bf,1,3,338,3
28,474,1,Bf,0,16,13,0
119,474,1,Bf,1,9,14,0
6,475,1,Bf,0,68,477,4
138,476,1,Bf,1,32,338,3
32,477,1,Bf,0,63,1134,11
42,478,1,Bf,0,34,570,5
32,479,2,Bf,0,33,1134,11
45,480,1,Bf,0,7,1197,11
72,481,1,Bf,0,3,673,6
45,482,1,Bf,0,170,1197,11
45,483,2,Bf,0,11,1197,11
32,484,1,Bf,0,22,1134,11
124,485,1,Bf,1,65,228,2
151,485,1,Bf,1,2,156,1
45,486,1,Bf,0,32,1197,11
64,486,1,Bf,0,3,333,3
140,487,2,Bf,1,1,1020,10
32,488,1,Bf,0,32,1134,11
150,489,1,Bf,1,3,322,3
136,490,1,Bf,1,19,84,0
60,491,1,Bf,0,177,12,0
87,491,1,Bf,0,96,754,7
140,492,1,Bf,1,56,1020,10
138,493,1,Bf,1,6,338,3
140,493,2,Bf,1,78,1020,10
169,493,1,Bf,1,71,205,2
168,494,1,Bf,1,7,678,6
180,494,1,Bf,1,243,1060,10
6,495,1,Bf,0,13,477,4
91,496,1,Bf,0,8,589,5
154,497,1,Bf,1,20,128,1
180,498,1,Bf,1,2,1060,10
87,499,1,Bf,0,49,754,7
150,499,1,Bf,1,17,322,3
32,500,1,Bf,0,22,1134,11
72,501,2,Bf,0,11,673,6
168,502,1,Bf,1,18,678,6
153,503,1,Bf,1,14,935,9
87,504,1,Bf,0,23,754,7
150,504,1,Bf,1,117,322,3
154,504,1,Bf,1,7,128,1
16,505,1,Bf,0,4,145,1
72,506,1,Bf,0,24,673,6
68,507,1,Bf,0,2,70,0
13,508,1,Bf,0,2,260,2
87,509,1,Bf,0,6,754,7
93,510,1,Bf,1,6,708,7
153,511,1,Bf,1,10,935,9
150,512,1,Bf,1,9,322,3
150,513,1,Bf,1,2,322,3
124,514,1,Bf,1,93,228,2
153,514,1,Bf,1,73,935,9
167,514,1,Bf,1,4,38,0
44,515,1,Bf,0,7,99,0
72,516,1,Bf,0,11,673,6
171,517,1,Bf,1,2,511,5
109,518,1,Bf,1,30,192,1
41,519,1,Bf,0,139,105,1
168,520,1,Bf,1,27,678,6
42,521,1,Bf,0,15,570,5
10,522,1,Bf,0,576,232,2
21,522,1,Bf,0,1,84,0
41,522,1,Bf,0,1,105,1
42,522,1,Bf,0,22,570,5
77,522,1,Bf,0,4,93,0
5,523,1,Bf,0,48,94,0
9,523,1,Bf,0,2,83,0
42,523,2,Bf,0,23,570,5
66,523,1,Bf,0,5,212,2
32,524,1,Bf,0,58,1134,11
80,525,1,Bf,0,15,235,2
140,526,1,Bf,1,39,1020,10
138,527,1,Bf,1,5,338,3
127,528,1,Bf,1,111,366,3
42,529,1,Bf,0,3,570,5
32,530,4,Bf,0,116,1134,11
100,531,1,Bf,1,1,129,1
2,532,1,Bf,0,33,52,0
3,532,1,Bf,0,12,56,0
5,532,1,Bf,0,1,94,0
7,532,1,Bf,0,133,82,0
9,532,1,Bf,0,3,83,0
17,532,1,Bf,0,38,155,1
34,532,1,Bf,0,176,84,0
42,532,2,Bf,0,176,570,5
50,532,1,Bf,0,29,67,0
51,532,1,Bf,0,141,62,0
57,532,1,Bf,0,40,224,2
66,532,1,Bf,0,12,212,2
73,532,1,Bf,0,1,216,2
80,532,1,Bf,0,52,235,2
85,532,1,Bf,0,38,46,0
86,532,1,Bf,0,2,68,0
150,533,1,Bf,1,17,322,3
17,534,1,Bf,0,16,155,1
6,535,1,Bf,0,39,477,4
93,536,1,Bf,1,1,708,7
72,537,1,Bf,0,5,673,6
136,538,1,Bf,1,6,84,0
64,539,1,Bf,0,5,333,3
124,539,1,Bf,1,2,228,2
113,540,1,Bf,1,49,128,1
142,541,1,Bf,1,28,246,2
140,542,1,Bf,1,4,1020,10
42,543,1,Bf,0,19,570,5
45,544,1,Bf,0,125,1197,11
95,545,2,Bf,1,129,439,4
147,545,1,Bf,1,2,45,0
148,545,1,Bf,1,11,116,1
168,545,1,Bf,1,150,678,6
180,546,1,Bf,1,1,1060,10
87,547,1,Bf,0,10,754,7
3,548,1,Bf,0,2,56,0
5,548,1,Bf,0,112,94,0
