news_no,user_no,user_spread_news_no_times,user_number_of_followers,following_accounts_number,fake_news,news_total_spread_no,user_total_fake_news_spread,user_total_news_spread,user_total_real_news_spread,user_total_probability_sharing_fake_news,user_total_probability_sharing_real_news
45,98,1,3,0,0,1396,0,1,1,0.0,1.0
115,99,1,17,1,1,243,1,1,0,1.0,0.0
45,100,1,1120,1049,0,1396,0,1,1,0.0,1.0
153,101,1,20,3,1,957,1,1,0,1.0,0.0
153,102,1,2,3,1,957,1,1,0,1.0,0.0
180,103,1,116,76,1,1214,1,1,0,1.0,0.0
6,104,1,16,2,0,521,0,1,1,0.0,1.0
32,105,1,43,7,0,1228,0,1,1,0.0,1.0
143,106,1,26,2,1,79,1,1,0,1.0,0.0
140,107,3,3,0,1,1193,11,11,0,1.0,0.0
168,107,1,3,0,1,744,11,11,0,1.0,0.0
180,107,5,3,0,1,1214,11,11,0,1.0,0.0
181,107,2,3,0,1,412,11,11,0,1.0,0.0
153,108,1,120,125,1,957,1,1,0,1.0,0.0
168,109,1,10,8,1,744,2,2,0,1.0,0.0
180,109,1,10,8,1,1214,2,2,0,1.0,0.0
46,110,1,8,0,0,315,0,1,1,0.0,1.0
23,111,1,2,1,0,284,1,2,1,0.5,0.5
150,111,1,2,1,1,337,1,2,1,0.5,0.5
32,112,1,3,1,0,1228,0,1,1,0.0,1.0
126,113,1,51,30,1,440,1,1,0,1.0,0.0
82,114,1,36,2,0,108,0,1,1,0.0,1.0
168,115,1,18,2,1,744,1,1,0,1.0,0.0
168,116,1,104,103,1,744,1,1,0,1.0,0.0
72,117,1,151,145,0,734,2,3,1,0.67,0.33
168,117,1,151,145,1,744,2,3,1,0.67,0.33
181,117,1,151,145,1,412,2,3,1,0.67,0.33
110,118,1,1,1,1,128,1,1,0,1.0,0.0
119,119,1,2,1,1,14,3,3,0,1.0,0.0
121,119,1,2,1,1,87,3,3,0,1.0,0.0
142,119,1,2,1,1,271,3,3,0,1.0,0.0
126,120,1,28,24,1,440,1,1,0,1.0,0.0
153,121,1,121,122,1,957,1,1,0,1.0,0.0
72,122,1,42,6,0,734,0,1,1,0.0,1.0
180,123,1,2,0,1,1214,1,1,0,1.0,0.0
41,124,1,32,5,0,119,0,1,1,0.0,1.0
45,125,4,32,2,0,1396,0,4,4,0.0,1.0
23,126,1,8,11,0,284,0,1,1,0.0,1.0
81,127,1,29,47,0,52,0,1,1,0.0,1.0
82,128,1,1,1,0,108,0,1,1,0.0,1.0
72,129,1,5,1,0,734,0,2,2,0.0,1.0
91,129,1,5,1,0,627,0,2,2,0.0,1.0
124,130,1,1,1,1,248,1,1,0,1.0,0.0
45,131,1,64,38,0,1396,0,1,1,0.0,1.0
58,132,1,37,25,0,66,2,3,1,0.67,0.33
110,132,1,37,25,1,128,2,3,1,0.67,0.33
143,132,1,37,25,1,79,2,3,1,0.67,0.33
31,133,1,41,15,0,59,1,5,4,0.2,0.8
71,133,1,41,15,0,64,1,5,4,0.2,0.8
72,133,1,41,15,0,734,1,5,4,0.2,0.8
87,133,1,41,15,0,823,1,5,4,0.2,0.8
153,133,1,41,15,1,957,1,5,4,0.2,0.8
23,134,1,41,4,0,284,0,3,3,0.0,1.0
45,134,1,41,4,0,1396,0,3,3,0.0,1.0
64,134,1,41,4,0,356,0,3,3,0.0,1.0
32,135,1,17,3,0,1228,0,1,1,0.0,1.0
140,136,1,7,0,1,1193,8,8,0,1.0,0.0
168,136,7,7,0,1,744,8,8,0,1.0,0.0
87,137,1,72,76,0,823,0,1,1,0.0,1.0
153,138,1,1,0,1,957,1,1,0,1.0,0.0
32,139,1,1,0,0,1228,0,1,1,0.0,1.0
153,140,1,37,19,1,957,1,1,0,1.0,0.0
82,141,1,17,24,0,108,0,1,1,0.0,1.0
72,142,1,61,77,0,734,0,1,1,0.0,1.0
78,143,1,24,19,0,90,0,1,1,0.0,1.0
15,144,1,8,0,0,83,0,2,2,0.0,1.0
21,144,1,8,0,0,94,0,2,2,0.0,1.0
18,145,1,113,116,0,148,0,1,1,0.0,1.0
68,146,1,39,53,0,80,0,1,1,0.0,1.0
6,147,1,1,0,0,521,0,1,1,0.0,1.0
141,148,1,7,1,1,128,1,1,0,1.0,0.0
124,149,1,149,139,1,248,1,1,0,1.0,0.0
168,150,1,0,1,1,744,1,1,0,1.0,0.0
13,151,1,8,24,0,273,0,1,1,0.0,1.0
140,152,1,7,1,1,1193,1,1,0,1.0,0.0
87,153,1,9,4,0,823,0,1,1,0.0,1.0
95,154,1,1,0,1,552,1,1,0,1.0,0.0
18,155,1,65,46,0,148,0,1,1,0.0,1.0
46,156,1,8,1,0,315,0,1,1,0.0,1.0
168,157,1,19,0,1,744,1,1,0,1.0,0.0
10,158,1,10,0,0,262,0,4,4,0.0,1.0
21,158,1,10,0,0,94,0,4,4,0.0,1.0
41,158,1,10,0,0,119,0,4,4,0.0,1.0
42,158,1,10,0,0,735,0,4,4,0.0,1.0
126,159,1,18,0,1,440,1,1,0,1.0,0.0
180,160,1,46,7,1,1214,1,1,0,1.0,0.0
87,161,1,42,5,0,823,0,1,1,0.0,1.0
5,162,1,2,2,0,100,6,11,5,0.55,0.45
6,162,2,2,2,0,521,6,11,5,0.55,0.45
30,162,1,2,2,0,44,6,11,5,0.55,0.45
89,162,1,2,2,0,289,6,11,5,0.55,0.45
93,162,1,2,2,1,840,6,11,5,0.55,0.45
138,162,1,2,2,1,385,6,11,5,0.55,0.45
171,162,3,2,2,1,648,6,11,5,0.55,0.45
175,162,1,2,2,1,42,6,11,5,0.55,0.45
62,163,1,28,36,0,19,0,1,1,0.0,1.0
87,164,1,20,18,0,823,0,1,1,0.0,1.0
78,165,1,6,6,0,90,0,1,1,0.0,1.0
93,166,1,14,4,1,840,1,1,0,1.0,0.0
93,167,1,4,2,1,840,1,1,0,1.0,0.0
169,168,1,41,31,1,219,1,1,0,1.0,0.0
140,169,1,111,101,1,1193,1,1,0,1.0,0.0
93,170,1,12,3,1,840,2,2,0,1.0,0.0
140,170,1,12,3,1,1193,2,2,0,1.0,0.0
56,171,1,21,5,0,306,0,1,1,0.0,1.0
93,172,1,53,15,1,840,1,1,0,1.0,0.0
180,173,1,52,35,1,1214,1,1,0,1.0,0.0
46,174,1,7,1,0,315,0,1,1,0.0,1.0
89,175,1,28,7,0,289,1,2,1,0.5,0.5
93,175,1,28,7,1,840,1,2,1,0.5,0.5
153,176,1,47,44,1,957,1,1,0,1.0,0.0
87,177,1,36,48,0,823,0,1,1,0.0,1.0
17,178,1,3,0,0,188,0,1,1,0.0,1.0
153,179,1,3,2,1,957,1,1,0,1.0,0.0
140,180,1,34,3,1,1193,1,1,0,1.0,0.0
56,181,1,75,48,0,306,0,1,1,0.0,1.0
23,182,1,141,117,0,284,0,5,5,0.0,1.0
46,182,2,141,117,0,315,0,5,5,0.0,1.0
57,182,1,141,117,0,232,0,5,5,0.0,1.0
64,182,1,141,117,0,356,0,5,5,0.0,1.0
153,183,1,5,0,1,957,2,2,0,1.0,0.0
155,183,1,5,0,1,65,2,2,0,1.0,0.0
31,184,3,17,9,0,59,0,4,4,0.0,1.0
32,184,1,17,9,0,1228,0,4,4,0.0,1.0
89,185,1,0,2,0,289,0,1,1,0.0,1.0
6,186,1,71,61,0,521,0,1,1,0.0,1.0
169,187,1,95,39,1,219,1,1,0,1.0,0.0
87,188,1,2,1,0,823,0,1,1,0.0,1.0
45,189,1,3,5,0,1396,0,1,1,0.0,1.0
2,190,1,37,1,0,64,0,1,1,0.0,1.0
168,191,2,59,27,1,744,2,2,0,1.0,0.0
2,192,1,25,24,0,64,0,7,7,0.0,1.0
5,192,1,25,24,0,100,0,7,7,0.0,1.0
42,192,2,25,24,0,735,0,7,7,0.0,1.0
50,192,1,25,24,0,71,0,7,7,0.0,1.0
73,192,1,25,24,0,234,0,7,7,0.0,1.0
80,192,1,25,24,0,253,0,7,7,0.0,1.0
153,193,1,61,36,1,957,1,1,0,1.0,0.0
127,194,1,9,6,1,379,1,1,0,1.0,0.0
45,195,1,9,0,0,1396,0,1,1,0.0,1.0
18,196,1,131,45,0,148,0,1,1,0.0,1.0
13,197,1,4,6,0,273,0,1,1,0.0,1.0
113,198,1,0,2,1,136,3,3,0,1.0,0.0
121,198,1,0,2,1,87,3,3,0,1.0,0.0
138,198,1,0,2,1,385,3,3,0,1.0,0.0
91,199,1,159,143,0,627,0,1,1,0.0,1.0
89,200,1,12,0,0,289,0,1,1,0.0,1.0
115,201,1,543,510,1,243,1,1,0,1.0,0.0
56,202,1,1,1,0,306,0,1,1,0.0,1.0
42,203,1,2,0,0,735,0,1,1,0.0,1.0
153,204,1,7,0,1,957,1,1,0,1.0,0.0
46,205,1,18,15,0,315,0,1,1,0.0,1.0
100,206,1,46,2,1,138,1,1,0,1.0,0.0
171,207,1,102,74,1,648,1,1,0,1.0,0.0
45,208,1,72,31,0,1396,0,1,1,0.0,1.0
181,209,1,148,122,1,412,1,1,0,1.0,0.0
16,210,1,0,2,0,147,0,1,1,0.0,1.0
95,211,1,6,0,1,552,1,1,0,1.0,0.0
18,212,1,2,1,0,148,0,1,1,0.0,1.0
42,213,1,33,78,0,735,0,2,2,0.0,1.0
91,213,1,33,78,0,627,0,2,2,0.0,1.0
72,214,1,10,0,0,734,0,1,1,0.0,1.0
140,215,1,20,1,1,1193,1,1,0,1.0,0.0
140,216,1,403,339,1,1193,1,1,0,1.0,0.0
91,217,1,2,0,0,627,0,1,1,0.0,1.0
181,218,1,22,20,1,412,1,1,0,1.0,0.0
171,219,1,14,13,1,648,1,1,0,1.0,0.0
105,220,1,7,3,1,119,6,6,0,1.0,0.0
115,220,1,7,3,1,243,6,6,0,1.0,0.0
126,220,1,7,3,1,440,6,6,0,1.0,0.0
140,220,2,7,3,1,1193,6,6,0,1.0,0.0
168,220,1,7,3,1,744,6,6,0,1.0,0.0
153,221,1,21,4,1,957,1,1,0,1.0,0.0
153,222,1,61,1,1,957,1,1,0,1.0,0.0
127,223,1,3,1,1,379,1,1,0,1.0,0.0
45,224,1,48,28,0,1396,0,1,1,0.0,1.0
171,225,1,52,57,1,648,1,1,0,1.0,0.0
160,226,1,8,1,1,62,1,1,0,1.0,0.0
32,227,1,5,2,0,1228,0,1,1,0.0,1.0
140,228,1,33,111,1,1193,1,1,0,1.0,0.0
162,229,1,1,1,1,101,1,1,0,1.0,0.0
153,230,1,83,82,1,957,1,1,0,1.0,0.0
42,231,2,1,2,0,735,0,2,2,0.0,1.0
112,232,1,5,8,1,89,1,1,0,1.0,0.0
32,233,1,17,1,0,1228,0,1,1,0.0,1.0
140,234,1,5,0,1,1193,1,1,0,1.0,0.0
100,235,1,0,2,1,138,1,1,0,1.0,0.0
168,236,1,8,4,1,744,1,1,0,1.0,0.0
45,237,1,17,10,0,1396,0,1,1,0.0,1.0
24,238,1,3,0,0,3,0,1,1,0.0,1.0
32,239,1,4,1,0,1228,0,1,1,0.0,1.0
72,240,1,134,121,0,734,0,1,1,0.0,1.0
66,241,1,0,5,0,221,0,1,1,0.0,1.0
45,242,1,1,0,0,1396,0,1,1,0.0,1.0
180,243,2,115,124,1,1214,2,2,0,1.0,0.0
10,244,1,3,0,0,262,0,1,1,0.0,1.0
91,245,1,2,0,0,627,0,1,1,0.0,1.0
138,246,2,0,3,1,385,2,2,0,1.0,0.0
93,247,1,165,134,1,840,5,5,0,1.0,0.0
140,247,4,165,134,1,1193,5,5,0,1.0,0.0
32,248,1,1,0,0,1228,0,1,1,0.0,1.0
87,249,1,1,1,0,823,0,1,1,0.0,1.0
153,250,1,34,17,1,957,1,1,0,1.0,0.0
141,251,1,15,3,1,128,1,1,0,1.0,0.0
136,252,1,22,14,1,91,1,1,0,1.0,0.0
112,253,1,5,0,1,89,1,1,0,1.0,0.0
78,254,1,106,60,0,90,1,2,1,0.5,0.5
150,254,1,106,60,1,337,1,2,1,0.5,0.5
162,255,1,46,34,1,101,1,1,0,1.0,0.0
101,256,1,1,1,1,32,1,1,0,1.0,0.0
150,257,1,2,2,1,337,1,1,0,1.0,0.0
32,258,1,2,24,0,1228,11,12,1,0.92,0.08
93,258,2,2,24,1,840,11,12,1,0.92,0.08
105,258,1,2,24,1,119,11,12,1,0.92,0.08
115,258,3,2,24,1,243,11,12,1,0.92,0.08
140,258,1,2,24,1,1193,11,12,1,0.92,0.08
171,258,4,2,24,1,648,11,12,1,0.92,0.08
91,259,1,2,0,0,627,0,1,1,0.0,1.0
45,260,1,1,0,0,1396,0,1,1,0.0,1.0
45,261,1,9,1,0,1396,0,5,5,0.0,1.0
57,261,1,9,1,0,232,0,5,5,0.0,1.0
64,261,1,9,1,0,356,0,5,5,0.0,1.0
66,261,1,9,1,0,221,0,5,5,0.0,1.0
73,261,1,9,1,0,234,0,5,5,0.0,1.0
181,262,1,3,1,1,412,1,1,0,1.0,0.0
151,263,1,2,1,1,164,1,1,0,1.0,0.0
13,264,1,32,24,0,273,0,1,1,0.0,1.0
124,265,1,3,0,1,248,1,1,0,1.0,0.0
127,266,1,7,0,1,379,1,1,0,1.0,0.0
151,267,1,4,7,1,164,1,1,0,1.0,0.0
72,268,1,41,12,0,734,0,1,1,0.0,1.0
109,269,1,8,0,1,205,1,1,0,1.0,0.0
180,270,1,97,111,1,1214,1,1,0,1.0,0.0
126,271,2,51,2,1,440,2,2,0,1.0,0.0
168,272,1,86,100,1,744,1,1,0,1.0,0.0
17,273,1,6,7,0,188,0,2,2,0.0,1.0
18,273,1,6,7,0,148,0,2,2,0.0,1.0
87,274,1,4,0,0,823,0,1,1,0.0,1.0
91,275,1,6,2,0,627,0,1,1,0.0,1.0
180,276,1,11,0,1,1214,1,1,0,1.0,0.0
45,277,2,6,0,0,1396,0,2,2,0.0,1.0
91,278,1,2,3,0,627,0,1,1,0.0,1.0
93,279,1,32,29,1,840,1,1,0,1.0,0.0
181,280,1,4,0,1,412,1,1,0,1.0,0.0
45,281,1,22,1,0,1396,0,1,1,0.0,1.0
127,282,1,47,0,1,379,1,1,0,1.0,0.0
72,283,2,2,0,0,734,2,4,2,0.5,0.5
155,283,2,2,0,1,65,2,4,2,0.5,0.5
151,284,1,48,32,1,164,1,1,0,1.0,0.0
89,285,1,2,1,0,289,0,1,1,0.0,1.0
32,286,1,6,0,0,1228,0,1,1,0.0,1.0
16,287,1,8,16,0,147,0,1,1,0.0,1.0
32,288,1,97,47,0,1228,0,1,1,0.0,1.0
150,289,1,46,23,1,337,1,1,0,1.0,0.0
153,290,1,4,4,1,957,1,1,0,1.0,0.0
16,291,1,114,103,0,147,0,1,1,0.0,1.0
3,292,1,8,0,0,59,0,13,13,0.0,1.0
5,292,1,8,0,0,100,0,13,13,0.0,1.0
7,292,1,8,0,0,87,0,13,13,0.0,1.0
9,292,1,8,0,0,95,0,13,13,0.0,1.0
34,292,1,8,0,0,90,0,13,13,0.0,1.0
42,292,2,8,0,0,735,0,13,13,0.0,1.0
51,292,1,8,0,0,68,0,13,13,0.0,1.0
57,292,1,8,0,0,232,0,13,13,0.0,1.0
71,292,1,8,0,0,64,0,13,13,0.0,1.0
73,292,1,8,0,0,234,0,13,13,0.0,1.0
80,292,1,8,0,0,253,0,13,13,0.0,1.0
86,292,1,8,0,0,72,0,13,13,0.0,1.0
64,293,1,14,8,0,356,0,1,1,0.0,1.0
95,294,1,200,364,1,552,1,1,0,1.0,0.0
42,295,1,4,0,0,735,0,1,1,0.0,1.0
32,296,1,19,17,0,1228,0,1,1,0.0,1.0
136,297,1,8,0,1,91,1,1,0,1.0,0.0
32,298,1,38,3,0,1228,0,1,1,0.0,1.0
32,299,1,6,3,0,1228,0,1,1,0.0,1.0
115,300,1,4,0,1,243,1,1,0,1.0,0.0
96,301,1,75,76,1,47,1,1,0,1.0,0.0
32,302,1,162,138,0,1228,0,1,1,0.0,1.0
77,303,1,10,6,0,98,0,1,1,0.0,1.0
168,304,1,3,1,1,744,1,1,0,1.0,0.0
46,305,1,68,63,0,315,0,1,1,0.0,1.0
169,306,1,78,62,1,219,1,1,0,1.0,0.0
135,307,1,2,1,1,49,2,2,0,1.0,0.0
167,307,1,2,1,1,38,2,2,0,1.0,0.0
6,308,1,1,0,0,521,0,1,1,0.0,1.0
95,309,1,22,32,1,552,1,1,0,1.0,0.0
153,310,1,6,0,1,957,1,1,0,1.0,0.0
71,311,1,2,2,0,64,0,6,6,0.0,1.0
83,311,2,2,2,0,55,0,6,6,0.0,1.0
85,311,1,2,2,0,49,0,6,6,0.0,1.0
91,311,2,2,2,0,627,0,6,6,0.0,1.0
77,312,1,18,0,0,98,0,1,1,0.0,1.0
110,313,3,13,0,1,128,4,4,0,1.0,0.0
180,313,1,13,0,1,1214,4,4,0,1.0,0.0
150,314,1,116,86,1,337,1,1,0,1.0,0.0
32,315,1,1,0,0,1228,0,1,1,0.0,1.0
91,316,1,2,0,0,627,0,1,1,0.0,1.0
82,317,1,5,0,0,108,0,1,1,0.0,1.0
126,318,1,4,0,1,440,1,1,0,1.0,0.0
32,319,1,279,253,0,1228,0,1,1,0.0,1.0
169,320,1,16,2,1,219,1,1,0,1.0,0.0
127,321,1,10,3,1,379,1,1,0,1.0,0.0
42,322,2,1,0,0,735,0,2,2,0.0,1.0
142,323,1,5,0,1,271,1,1,0,1.0,0.0
141,324,1,1,0,1,128,3,3,0,1.0,0.0
143,324,1,1,0,1,79,3,3,0,1.0,0.0
168,324,1,1,0,1,744,3,3,0,1.0,0.0
32,325,1,3,1,0,1228,0,1,1,0.0,1.0
153,326,1,97,100,1,957,1,1,0,1.0,0.0
113,327,1,68,33,1,136,3,3,0,1.0,0.0
125,327,1,68,33,1,212,3,3,0,1.0,0.0
141,327,1,68,33,1,128,3,3,0,1.0,0.0
180,328,1,14,1,1,1214,1,1,0,1.0,0.0
180,329,1,0,1,1,1214,1,1,0,1.0,0.0
38,330,1,5,0,0,33,0,2,2,0.0,1.0
85,330,1,5,0,0,49,0,2,2,0.0,1.0
91,331,1,3,26,0,627,0,1,1,0.0,1.0
135,332,1,1,1,1,49,1,1,0,1.0,0.0
56,333,1,36,27,0,306,0,1,1,0.0,1.0
42,334,1,14,7,0,735,0,1,1,0.0,1.0
95,335,2,7,1,1,552,7,7,0,1.0,0.0
140,335,2,7,1,1,1193,7,7,0,1.0,0.0
171,335,2,7,1,1,648,7,7,0,1.0,0.0
182,335,1,7,1,1,18,7,7,0,1.0,0.0
181,336,1,3,1,1,412,1,1,0,1.0,0.0
32,337,1,22,3,0,1228,0,1,1,0.0,1.0
11,338,1,17,6,0,11,0,1,1,0.0,1.0
23,339,1,7,0,0,284,0,3,3,0.0,1.0
45,339,1,7,0,0,1396,0,3,3,0.0,1.0
64,339,1,7,0,0,356,0,3,3,0.0,1.0
13,340,1,1,0,0,273,0,1,1,0.0,1.0
153,341,1,226,226,1,957,1,1,0,1.0,0.0
153,342,1,13,1,1,957,1,1,0,1.0,0.0
42,343,1,83,44,0,735,0,1,1,0.0,1.0
124,344,1,18,0,1,248,1,1,0,1.0,0.0
150,345,1,105,87,1,337,1,1,0,1.0,0.0
73,346,1,4,0,0,234,0,1,1,0.0,1.0
87,347,1,80,105,0,823,0,1,1,0.0,1.0
5,348,1,0,1,0,100,0,3,3,0.0,1.0
9,348,1,0,1,0,95,0,3,3,0.0,1.0
42,348,1,0,1,0,735,0,3,3,0.0,1.0
150,349,1,27,0,1,337,1,1,0,1.0,0.0
23,350,1,37,141,0,284,0,4,4,0.0,1.0
57,350,1,37,141,0,232,0,4,4,0.0,1.0
64,350,1,37,141,0,356,0,4,4,0.0,1.0
66,350,1,37,141,0,221,0,4,4,0.0,1.0
